-0.7253, -0.05859
-0.6789, -0.06642
-0.6362, -0.02682
-0.6346, -0.09746
-0.6158, -0.1453
-0.6129, -0.0044
-0.5883, -0.06155
-0.569,  -0.1227
-0.5473, -0.04501
-0.507, -0.006207
-0.5152, -0.1155
-0.4941, -0.1209
-0.4812, -0.0682
-0.4887, 0.0009696
-0.47, -0.06604
-0.4372, -0.1369
-0.4192, -0.06632
-0.3877, -0.03653
-0.3575, 0.04668
-0.3404, -0.06877
-0.3602, -0.1391
-0.3148, -0.163
-0.298,  -0.06276
-0.3253, 0.04059
-0.2576, 0.08205
-0.2419, -0.06557
-0.2532, -0.2013
-0.2419, 0.1114
-0.2267, -0.06375
-0.1771, 0.02214
-0.1667, -0.0.06369
-0.176, -0.1475
-0.2237, -0.2236
-0.1399, -0.0726
-0.1305, -0.2147
-0.06698, -0.3545
-0.09423, -0.08735
-0.1185, 0.05357
-0.071, -0.06144
-0.05557, -0.145
-0.05158, -0.2796 
-0.06093, -0.4297
-0.06981, -0.6022
0.0002514, -0.5685
0.067, -0.6557
0.006736, -0.6557
0.01634, -0.7915
0.09254, -0.6153 
0.1594, -0.5224
0.1128, -0.4568
0.19, -0.4316
0.174, -0.3159
0.28, -0.3475
0.2198, -0.2793
0.3662, -0.2336
0.4307, -0.2269
0.4801, -0.1842
0.5615, -0.1975
0.6314, -0.1921
0.6962, -0.2009
0.78, -0.1298
0.8394, -0.1644
0.8948, -0.06623
0.848, -0.02524
0.7885, 0.01634
0.7235, 0.02292
0.6314, 0.05923
0.5536, 0.03497
0.4834, 0.08352
0.3985, 0.1148
0.2941, 0.156
0.2417, 0.248
0.1909, 0.3213
0.1605, 0.3792
0.1338, 0.465
0.08967, 0.6292
0.01487, 0.7222
-0.03897, 0.5542
-0.1046, 0.372
-0.1639, 0.1352
0.006871, 0.431
-0.002375, 0.3753
0.05208, 0.3974
0.1175, 0.3441
0.1234, 0.2923
0.05989, 0.2573
-0.01834, 0.2407
-0.01281, 0.175
0.002061, 0.09584
0.0002689, 0.06266
0.01233, 0.188
0.134, 0.2066
0.05502, 0.08524
0.1729, 0.05343
-0.01436, -0.243
-0.008449, -0.3259
-0.003511, -0.4092
0.01207, -0.5188
0.06145, -0.4877
0.1143, -0.3861
0.1621, -0.2701
0.2694, -0.2035
0.3487, -0.1651
0.4446, -0.1527
0.5216, -0.1303
0.6311, -0.1117
0.7327, -0.08756
0.8162, -0.09091
0.8753, -0.06051
0.7932, -0.02696
0.705, -0.01925
0.6155, -0.005735
0.6736, -0.06204
0.4917, 0.00589
0.3858, 0.009379
0.4121, -0.06631
0.2781, 0.05649
0.259, -0.027
0.245, -0.1298
0.2191, 0.1015
0.2354, 0.01635
0.1913, -0.1563
0.1839, -0.04829
0.1857, 0.08438
0.108, 0.01006
0.1531, 0.01866
0.01585, -0.003701
0.01127, -0.07065
0.04394, -0.07207
0.08274, -0.08482
0.113, -0.08817
0.16, -0.1388
0.1578, -0.2012
0.02702, -0.2886
0.09815, -0.3501
0.09145, -0.4201
0.02184, -0.4632
0.08274, -0.2
-0.18, 0.04394
0.31, -0.04 
